Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2024-04-25T22:29:17.427;537278358720551370;-413794;-422124;-401345;-530306
2024-04-25T22:29:17.445;537278358738708054;-413803;-422175;-401393;-530328
2024-04-25T22:29:17.463;537278358756864738;-413862;-422262;-401407;-530367
2024-04-25T22:29:17.481;537278358775021422;-413885;-422271;-401451;-530285
2024-04-25T22:29:17.500;537278358793178106;-413978;-422389;-401549;-530332
2024-04-25T22:29:17.518;537278358811334790;-414065;-422430;-401574;-530306
2024-04-25T22:29:17.536;537278358829491474;-414117;-422465;-401616;-530310
2024-04-25T22:29:17.554;537278358847648158;-414084;-422494;-401630;-530291
2024-04-25T22:29:17.572;537278358865804842;-414145;-422535;-401725;-530314
2024-04-25T22:29:17.590;537278358883961526;-414158;-422549;-401753;-530329
2024-04-25T22:29:17.608;537278358902118210;-414185;-422613;-401718;-530348
2024-04-25T22:29:17.627;537278358920274894;-414175;-422539;-401727;-530324
2024-04-25T22:29:17.645;537278358938431578;-414172;-422581;-401698;-530328
2024-04-25T22:29:17.663;537278358956588262;-414157;-422558;-401651;-530352
2024-04-25T22:29:17.681;537278358974744946;-414120;-422496;-401654;-530350
2024-04-25T22:29:17.699;537278358992901630;-414080;-422527;-401610;-530317
2024-04-25T22:29:17.717;537278359011058314;-414093;-422529;-401591;-530346
2024-04-25T22:29:17.736;537278359029214998;-414071;-422531;-401578;-530336
2024-04-25T22:29:17.754;537278359047371682;-414021;-422439;-401539;-530313
2024-04-25T22:29:17.772;537278359065528366;-413978;-422461;-401472;-530281
2024-04-25T22:29:17.790;537278359083685050;-414016;-422504;-401489;-530353
2024-04-25T22:29:17.808;537278359101841734;-414022;-422471;-401470;-530375
2024-04-25T22:29:17.826;537278359119998418;-413945;-422457;-401468;-530332
2024-04-25T22:29:17.845;537278359138155102;-413907;-422396;-401423;-530344
2024-04-25T22:29:17.863;537278359156311786;-413979;-422379;-401388;-530344
2024-04-25T22:29:17.881;537278359174468470;-413956;-422387;-401371;-530362
2024-04-25T22:29:17.899;537278359192625154;-413884;-422356;-401297;-530337
2024-04-25T22:29:17.917;537278359210781838;-413855;-422369;-401280;-530365
2024-04-25T22:29:17.935;537278359228938522;-413867;-422309;-401240;-530370
2024-04-25T22:29:17.953;537278359247095206;-413806;-422278;-401252;-530362
2024-04-25T22:29:17.972;537278359265251890;-413774;-422312;-401228;-530320
2024-04-25T22:29:17.990;537278359283408574;-413703;-422223;-401184;-530330
2024-04-25T22:29:18.008;537278359301565258;-413684;-422157;-401059;-530351
2024-04-25T22:29:18.026;537278359319721942;-413620;-422161;-401099;-530329
2024-04-25T22:29:18.044;537278359337878626;-413655;-422130;-401010;-530276
2024-04-25T22:29:18.062;537278359356035310;-413760;-422261;-401127;-530366
2024-04-25T22:29:18.081;537278359374191994;-413837;-422335;-401157;-530361
2024-04-25T22:29:18.099;537278359392348678;-413965;-422474;-401340;-530307
2024-04-25T22:29:18.117;537278359410505362;-414084;-422582;-401473;-530314
2024-04-25T22:29:18.135;537278359428662046;-414305;-422735;-401638;-530339
2024-04-25T22:29:18.153;537278359446818730;-414322;-422838;-401756;-530276
2024-04-25T22:29:18.171;537278359464975414;-414476;-423029;-401890;-530317
2024-04-25T22:29:18.189;537278359483131856;-414526;-423091;-401919;-530256
2024-04-25T22:29:18.208;537278359501288259;-414578;-423159;-402022;-530311
2024-04-25T22:29:18.226;537278359519444662;-414643;-423188;-402044;-530316
2024-04-25T22:29:18.244;537278359537601065;-414748;-423221;-402054;-530349
2024-04-25T22:29:18.262;537278359555757468;-414709;-423207;-402055;-530313
2024-04-25T22:29:18.280;537278359573913871;-414691;-423213;-402059;-530317
2024-04-25T22:29:18.298;537278359592070274;-414701;-423167;-402056;-530368
2024-04-25T22:29:18.317;537278359610226677;-414680;-423219;-402042;-530345
2024-04-25T22:29:18.335;537278359628383080;-414721;-423241;-402084;-530318
2024-04-25T22:29:18.353;537278359646539483;-414779;-423314;-402147;-530328
2024-04-25T22:29:18.371;537278359664695886;-414850;-423408;-402197;-530361
2024-04-25T22:29:18.389;537278359682852289;-414853;-423404;-402207;-530276
2024-04-25T22:29:18.407;537278359701008692;-414947;-423503;-402317;-530350
2024-04-25T22:29:18.426;537278359719165095;-414993;-423520;-402310;-530315
2024-04-25T22:29:18.444;537278359737321498;-415089;-423631;-402396;-530350
2024-04-25T22:29:18.462;537278359755477901;-415092;-423552;-402374;-530273
2024-04-25T22:29:18.480;537278359773634304;-415094;-423585;-402382;-530376
2024-04-25T22:29:18.498;537278359791790707;-415121;-423620;-402446;-530344
2024-04-25T22:29:18.516;537278359809947110;-415093;-423551;-402423;-530320
2024-04-25T22:29:18.534;537278359828103513;-415034;-423617;-402362;-530334
2024-04-25T22:29:18.553;537278359846259916;-415044;-423555;-402363;-530307
2024-04-25T22:29:18.571;537278359864416319;-414993;-423528;-402323;-530344
2024-04-25T22:29:18.589;537278359882572722;-414971;-423494;-402308;-530311
2024-04-25T22:29:18.607;537278359900729125;-414951;-423468;-402274;-530347
2024-04-25T22:29:18.625;537278359918885528;-414901;-423473;-402235;-530310
2024-04-25T22:29:18.643;537278359937041931;-414903;-423446;-402223;-530346
2024-04-25T22:29:18.662;537278359955198334;-414815;-423434;-402127;-530341
2024-04-25T22:29:18.680;537278359973354737;-414866;-423440;-402168;-530315
2024-04-25T22:29:18.698;537278359991511140;-414887;-423399;-402132;-530317
2024-04-25T22:29:18.716;537278360009667543;-414824;-423362;-402105;-530347
2024-04-25T22:29:18.734;537278360027823946;-414823;-423381;-402108;-530368
